Mandat,Sous-mandat,X,Y,Commune,Remarque,Info,Type 1,Type 2,Type 3
8917,_05584,2586400,1111770,Isérables,,,Géotechnique,na,na
8918,_05585,2563341,1151924,na,,,Géotechnique,na,na
8919,_05586,2586547,1106332,Riddes,,,Dangers naturels,na,na
8920,_05587,2606094,1126173,Sierre,,,Infiltration,na,na
8921,_05588,2600282,1113478,St-Martin,,,Infiltration,na,na
8922,_05589,2591363,1115921,Nendaz,,,Géotechnique,na,na
8923,_05590,2571903,1166557,Echarlens,,EAC,Bruit,na,na
8924,_05591,2536953,1195928,Val-de-Travers,,EAC,Bruit,na,na
8925,_05592,2549894,1194308,La Grande Béroche,,EAC,Bruit,na,na
8926,_05593,2572832,1170949,Pont-en-Ogoz,,EAC,Bruit,na,na
8927,_05594,2597190,1113930,Hérémence,,,Dangers naturels,na,na
8928,_05595,2589654,1112725,Nendaz,,,Géotechnique,na,na
8929,_05596,2592990,1117850,Sion,,,Géotechnique,na,na
8930,_05597,2601566,1127440,Lens,,,Géotechnique,na,na
8931,_05598,2580576,1113215,Saillon,,,Infiltration,na,na
8932,_05599,2579714,1108903,Saxon,,,Géotechnique,na,na
8933,_05600,2608382,1126273,Sierre,,,Infiltration,na,na
8934,_05601,2577247,1183372,Fribourg,,EAC,Bruit,na,na
8935,_05602,2535965,1153890,Prilly,,EAC,Bruit,na,na
8936,_05603,2575993,1189944,Courtepin,,EAC,Bruit,na,na
8937,_05604,2583619,1113925,Riddes,,,Infiltration,na,na
8938,_05605,2558627,1145938,Blonay - Saint-Légier,,,Géotechnique,na,na
8939,_05606,2593508,1122308,Savièse,,,Géothermie,na,na
8940,_05607,2582200,1087260,Bourg-St-Pierre,,,Dangers naturels,na,na
8941,_05608,2602124,1122986,Sierre,,,Dangers naturels,na,na
8942,_05609,2555789,1147987,Corsier-sur-Vevey,,,Environnement,na,na
8943,_05610,2589255,1118320,Conthey,,,Essais de plaque,na,na
8944,_05611,2604609,1106691,Evolène,,,Hydrogéologie,na,na
8945,_05612,2519885,1175961,Vallorbe,,,Géotechnique,na,na
8946,_05613,2552517,1157820,Oron,,,Géotechnique,Environnement,na
8947,_05614,2570257,1163478,Bulle,,,Bruit,na,na
8948,_05615,2553423,1166179,Ursy,,EAC,Bruit,na,na
8949,_05616,2503227,1131373,Coppet,,EAC,Bruit,na,na
8950,_05617,2574044,1108955,Fully,,,Infiltration,na,na
8951,_05618,2558981,1153305,na,,,Géotechnique,na,na
8952,_05619,2583766,1109460,Riddes,,,Dangers naturels,na,na
8952,_05620,2583164,1103677,Val de Bagnes,,,Dangers naturels,na,na
8953,_05621,2561799,1121702,Monthey,,EAC,Bruit,na,na
8954,_05622,2558028,1143350,Montreux,,,Hydrogéologie,na,na
8955,_05623,2556826,1143133,Montreux,,,Géotechnique,na,na
8956,_05624,2602780,1128588,Crans-Montana,,,SGV,na,na
8957,_05625,2558956,1143651,Montreux,,,Infiltration,na,na
8958,_05626,2600207,1126267,Icogne,,,Infiltration,na,na
